day,month,year,hour,uuid,id_user,gclid,user_recurrent,url_landing,URL_base&landing,glid,iduser,uuid.1,camp,adg,device,sl,adv,rec,extra,conversiones,id_lead,lead_type,result,hour_conversion,day_conversion,month_conversion,year_conversion
6,9,2021,13:44:21.471,54bfdfe1-69ca-4e22-bf78-90923d1e9bf9,59257b75-5389-49e4-b1aa-5997ecfdc7f9,Cj0KCQjw1dGJBhD4ARIsANb6OdkF0-DcGTMMXczOIXbbjKMfjn7bHPBg7e6ItklUZjUBlrkdO5OLMe0aAjXvEALw_wcB,True,https://www.metropolis.com/es/cea/gclid=Cj0KCQjw1dGJBhD4ARIsANb6OdkF0-DcGTMMXczOIXbbjKMfjn7bHPBg7e6ItklUZjUBlrkdO5OLMe0aAjXvEALw_wcB&idUser=59257b75-5389-49e4-b1aa-5997ecfdc7f9&uuid=54bfdfe1-69ca-4e22-bf78-90923d1e9bf9&camp=1648174978&adg=62589482065&device=m&sl=&adv=494939238432&rec=true&,https://www.metropolis.com/es/cea/,Cj0KCQjw1dGJBhD4ARIsANb6OdkF0-DcGTMMXczOIXbbjKMfjn7bHPBg7e6ItklUZjUBlrkdO5OLMe0aAjXvEALw_wcB,idUser=59257b75-5389-49e4-b1aa-5997ecfdc7f9,uuid=54bfdfe1-69ca-4e22-bf78-90923d1e9bf9,camp=1648174978,adg=62589482065,device=m,sl=,adv=494939238432,rec=true,,1,7959, CALL, No le interesa, 13:45,9,9,2021
6,9,2021,17:35:39.374,39e46fb6-ecd7-473c-96ff-25b92bd24529,fff88164-ce92-486c-a4d8-41c7b9779f24,EAIaIQobChMIquKwkIDq8gIVRLrVCh3JEwTmEAAYASAAEgLvofD_BwE,False,https://www.metropolis.com/es/gclid=EAIaIQobChMIp7bHooHq8gIVx-3tCcomfrAgsEAAYASAAEgLB5fD_BwE&idUser=33fc3b21-8755-417b-bf5c-805bae0da04e&uuid=b0b587bb-ec10-4dee-a73f-dc6a3127e870&camp=732187328&adg=46724581628&device=c&sl=&adv=533655604703&rec=false&,https://www.metropolis.com/es/,EAIaIQobChMIp7bHooHq8gIVx-3tCcomfrAgsEAAYASAAEgLB5fD_BwE,idUser=33fc3b21-8755-417b-bf5c-805bae0da04e,uuid=b0b587bb-ec10-4dee-a73f-dc6a3127e870,camp=732187328,adg=46724581628,device=c,sl=,adv=533655604703,rec=false,,1,7989, CALL, No le interesa, 17:36,10,9,2021
6,9,2021,20:01:18.455,427545ba-91a4-4e5d-8a69-895fefe2c0ef,fbee18ca-6970-4015-8892-814e664b3dab,Cj0KCQjw-NaJBhDsARIsAAja6dM1v0WCTK_OfE2RBzWB7rg0vC1_pKNdnpvsTxYTAYt_Shw56KBf46MaAn0SEALw_wcB,True,https://www.metropolis.com/es/clin400/gclid=EAIaIQobChMIoOaOo4Hr8gIVDd1RCh2UEAxPEAAYASAAEgLCgvD_BwE&idUser=fcfe7d4d-6289-4779-a2a6-1d2edae3b50e&uuid=12b1391f-4dce-4511-85f2-e735ca449a49&camp=732401028&adg=46724585188&device=m&sl=&adv=477211734920&rec=false&,https://www.metropolis.com/es/clin400/,EAIaIQobChMIoOaOo4Hr8gIVDd1RCh2UEAxPEAAYASAAEgLCgvD_BwE,idUser=fcfe7d4d-6289-4779-a2a6-1d2edae3b50e,uuid=12b1391f-4dce-4511-85f2-e735ca449a49,camp=732401028,adg=46724585188,device=m,sl=,adv=477211734920,rec=false,,1,7836, CALL, No le interesa, 20:02,6,9,2021
