Column1,day,month,year,date,hour,rounded_hour,uuid,id_user,gclid,user_recurrent,url_landing,URL_base&landing,glid,iduser,uuid.1,camp,adg,device,sl,adv,rec,extra,conversiones,id_lead,lead_type,result,hour_conversion,day_conversion,month_conversion,year_conversion,date_conversion,tiempo_en_contestar
5,6,9,2021,06/09/2021,13:44:21,14,54bfdfe1-69ca-4e22-bf78-90923d1e9bf9,59257b75-5389-49e4-b1aa-5997ecfdc7f9,Cj0KCQjw1dGJBhD4ARIsANb6OdkF0-DcGTMMXczOIXbbjKMfjn7bHPBg7e6ItklUZjUBlrkdO5OLMe0aAjXvEALw_wcB,VERDADERO,https://www.metropolis.com/es/cea/gclid=Cj0KCQjw1dGJBhD4ARIsANb6OdkF0-DcGTMMXczOIXbbjKMfjn7bHPBg7e6ItklUZjUBlrkdO5OLMe0aAjXvEALw_wcB&idUser=59257b75-5389-49e4-b1aa-5997ecfdc7f9&uuid=54bfdfe1-69ca-4e22-bf78-90923d1e9bf9&camp=1648174978&adg=62589482065&device=m&sl=&adv=494939238432&rec=true&,https://www.metropolis.com/es/cea/,Cj0KCQjw1dGJBhD4ARIsANb6OdkF0-DcGTMMXczOIXbbjKMfjn7bHPBg7e6ItklUZjUBlrkdO5OLMe0aAjXvEALw_wcB,idUser=59257b75-5389-49e4-b1aa-5997ecfdc7f9,uuid=54bfdfe1-69ca-4e22-bf78-90923d1e9bf9,camp=1648174978,adg=62589482065,device=m,sl=,adv=494939238432,rec=true,,1,7959, CALL, No le interesa,13:45:00,9,9,2021,09/09/2021,4321
71,6,9,2021,06/09/2021,11:56:56,12,e70ae10c-c91d-46f9-9c44-6a470c7995dc,8fb314e8-b0fe-4e17-b398-c0c5d2a988d0,Cj0KCQjw1dGJBhD4ARIsANb6Odmm0scxrJhSEv-sJOjunwPSMTkeF8CRIkq2-Oal8d7PtLGRV2GswSUaAqrkEALw_wcB,FALSO,https://www.metropolis.com/es/clin200/gclid=Cj0KCQjw1dGJBhD4ARIsANb6OdlXep4lwZTNIehwsuribQd6HSwZdLJ1cRKgwnznc0T6BDgyEn7iUJIaAivcEALw_wcB&idUser=3b667a12-1f6d-49ae-96b3-296d0c56f124&uuid=d5fe6fbe-e339-48a8-96f7-0ae1e5deeffe&camp=13352768134&adg=118216881250&device=m&sl=&adv=525403074131&rec=true&,https://www.metropolis.com/es/clin200/,Cj0KCQjw1dGJBhD4ARIsANb6OdlXep4lwZTNIehwsuribQd6HSwZdLJ1cRKgwnznc0T6BDgyEn7iUJIaAivcEALw_wcB,idUser=3b667a12-1f6d-49ae-96b3-296d0c56f124,uuid=d5fe6fbe-e339-48a8-96f7-0ae1e5deeffe,camp=13352768134,adg=118216881250,device=m,sl=,adv=525403074131,rec=true,,1,7914, CALL, Ilocalizable,11:56:00,8,9,2021,08/09/2021,2880
371,6,9,2021,06/09/2021,7:00:17,7,8c89b4be-197f-4664-b3d1-1f48d9b290c7,1d792022-78e4-4af9-9ea5-741117389e66,Cj0KCQjw-NaJBhDsARIsAAja6dM0p7PIAgtxJQ0hegy6Z-YC0GWRh-oUeTZH9RtM8hVAPjzotaZ8deIaAgD3EALw_wcB,VERDADERO,https://www.metropolis.com/es/clin400/gclid=Cj0KCQjw-NaJBhDsARIsAAja6dM_duf63JruFts-sfInQceW92aOWx5LvpFo10u4WFeSQaWVuJruySIaAkiGEALw_wcB&idUser=4eeac809-22b7-47ce-8b34-0040db851894&uuid=90c3182e-b6e7-4a0b-b5cd-e81fbe70ec6c&camp=732401031&adg=46724585508&device=c&sl=&adv=383441982861&rec=true&,https://www.metropolis.com/es/clin400/,Cj0KCQjw-NaJBhDsARIsAAja6dM_duf63JruFts-sfInQceW92aOWx5LvpFo10u4WFeSQaWVuJruySIaAkiGEALw_wcB,idUser=4eeac809-22b7-47ce-8b34-0040db851894,uuid=90c3182e-b6e7-4a0b-b5cd-e81fbe70ec6c,camp=732401031,adg=46724585508,device=c,sl=,adv=383441982861,rec=true,,1,7851, CALL, Ilocalizable,11:37:00,7,9,2021,07/09/2021,1717
854,6,9,2021,06/09/2021,17:35:39,17,39e46fb6-ecd7-473c-96ff-25b92bd24529,fff88164-ce92-486c-a4d8-41c7b9779f24,EAIaIQobChMIquKwkIDq8gIVRLrVCh3JEwTmEAAYASAAEgLvofD_BwE,FALSO,https://www.metropolis.com/es/gclid=EAIaIQobChMIp7bHooHq8gIVx-3tCcomfrAgsEAAYASAAEgLB5fD_BwE&idUser=33fc3b21-8755-417b-bf5c-805bae0da04e&uuid=b0b587bb-ec10-4dee-a73f-dc6a3127e870&camp=732187328&adg=46724581628&device=c&sl=&adv=533655604703&rec=false&,https://www.metropolis.com/es/,EAIaIQobChMIp7bHooHq8gIVx-3tCcomfrAgsEAAYASAAEgLB5fD_BwE,idUser=33fc3b21-8755-417b-bf5c-805bae0da04e,uuid=b0b587bb-ec10-4dee-a73f-dc6a3127e870,camp=732187328,adg=46724581628,device=c,sl=,adv=533655604703,rec=false,,1,7989, CALL, No le interesa,17:36:00,10,9,2021,10/09/2021,5761
1794,6,9,2021,06/09/2021,11:56:26,12,c4748bc6-eeec-4c94-ac60-2c5960748869,2f616f73-6d38-4041-95e9-911b90fbaee2,Cj0KCQjw-NaJBhDsARIsAAja6dM05lyJ5F1LMB-EMr_V51aEKMpXAlD_SNEOVjvwWuToBri9KI0lkrcaAm2JEALw_wcB,FALSO,https://www.metropolis.com/es/gclid=EAIaIQobChMI2_vFzabq8gIVhPdRCh3W3wPDEAAYASAAEgL7f_D_BwE&idUser=85bd9b7c-2e66-4e3a-a739-3e64dbb489d7&uuid=0a3b7257-fdba-454c-bfce-cb192a792cd9&camp=732187328&adg=46724581628&device=c&sl=&adv=533655604703&rec=false&,https://www.metropolis.com/es/,EAIaIQobChMI2_vFzabq8gIVhPdRCh3W3wPDEAAYASAAEgL7f_D_BwE,idUser=85bd9b7c-2e66-4e3a-a739-3e64dbb489d7,uuid=0a3b7257-fdba-454c-bfce-cb192a792cd9,camp=732187328,adg=46724581628,device=c,sl=,adv=533655604703,rec=false,,1,7843, CALL, Ilocalizable,17:58:00,7,9,2021,07/09/2021,1802
4246,6,9,2021,06/09/2021,20:01:18,20,427545ba-91a4-4e5d-8a69-895fefe2c0ef,fbee18ca-6970-4015-8892-814e664b3dab,Cj0KCQjw-NaJBhDsARIsAAja6dM1v0WCTK_OfE2RBzWB7rg0vC1_pKNdnpvsTxYTAYt_Shw56KBf46MaAn0SEALw_wcB,VERDADERO,https://www.metropolis.com/es/clin400/gclid=EAIaIQobChMIoOaOo4Hr8gIVDd1RCh2UEAxPEAAYASAAEgLCgvD_BwE&idUser=fcfe7d4d-6289-4779-a2a6-1d2edae3b50e&uuid=12b1391f-4dce-4511-85f2-e735ca449a49&camp=732401028&adg=46724585188&device=m&sl=&adv=477211734920&rec=false&,https://www.metropolis.com/es/clin400/,EAIaIQobChMIoOaOo4Hr8gIVDd1RCh2UEAxPEAAYASAAEgLCgvD_BwE,idUser=fcfe7d4d-6289-4779-a2a6-1d2edae3b50e,uuid=12b1391f-4dce-4511-85f2-e735ca449a49,camp=732401028,adg=46724585188,device=m,sl=,adv=477211734920,rec=false,,1,7836, CALL, No le interesa,20:02:00,6,9,2021,06/09/2021,1
